autoduel	Autoduel (USA).png
autotestsimulator	Autotest Simulator (Europe).png
avenger	Avenger (Europe).png
aventuraoriginalla	Aventura Original, La (Spain).png
axeofrage	Axe of Rage (USA).png
aztecchallenge	Aztec Challenge (Europe) (Budget).png
bcbill	BC Bill (Europe).png
bc2grogsrevenge	BC II - Grog's Revenge (Europe).png
bcsquestfortires	BC's Quest for Tires (Europe).png
bmxfreestyle	BMX Freestyle (Europe).png
bmxkidz	BMX Kidz (Europe).png
bmxninja	BMX Ninja (Europe).png
bmxracers	BMX Racers (Europe) (Burner).png
bmxsimulator	BMX Simulator (Europe).png
bmxsimulator2	BMX Simulator 2 (Europe).png
bmxtrials	BMX Trials (Europe).png
baal	Baal (Europe).png
babyofcanguru	Baby of Can Guru, The (USA, Europe).png
backtoreality	Back to Reality (Europe).png
backtofuture	Back to the Future (Europe) (Electric Dreams).png
backtofuture2	Back to the Future II (Europe).png
backtofuturepart3	Back to the Future Part III (Europe).png
backgammon	Backgammon (1989)(Maier, Gerhard)(de)[80 column].png
badcat	Bad Cat (Europe).png
baddudesversusdragonninja	Bad Dudes vs. Dragon Ninja (USA).png
badstreetbrawler	Bad Street Brawler (USA).png
badlands	Badlands (Europe).png
ballcrazy	Ball Crazy (Europe) (Budget).png
ballblasta	Ball-Blasta (Europe).png
ballblazer	Ballblazer (Europe).png
ballistix	Ballistix (Europe).png
bandanacity	Bandana City (Europe).png
bangersmash	Bangers _ Mash (Europe) (Budget).png
bangkokknights	Bangkok Knights (Europe).png
barbarian	Barbarian (Europe) (Ocean).png
barbarianultimatewarrior	Barbarian - The Ultimate Warrior (Europe).png
barbie	Barbie (USA, Europe).png
bardstale2destinyknight	Bard's Tale II, The - The Destiny Knight (USA, Europe).png
bardstale3thiefoffate	Bard's Tale III, The - Thief of Fate (USA, Europe).png
bardstaletalesofunknown	Bard's Tale, The - Tales of the Unknown (Europe).png
barrymcguiganworldchampionshipboxing	Barry McGuigan World Championship Boxing (Europe) (Budget).png
basilgreatmousedetective	Basil the Great Mouse Detective (Europe).png
basketmaster	Basketmaster (Europe).png
batalyx	Batalyx (Europe).png
bathtime	Bath Time (Europe).png
batmancapedcrusader	Batman - The Caped Crusader (Europe) (Bleepload).png
batmanmovie	Batman - The Movie (Europe).png
battlechess	Battle Chess (Europe).png
battlecommand	Battle Command (Europe).png
battlefield	Battle Field (Europe).png
battleisland	Battle Island (USA, Europe).png
battlestations	Battle Stations (Europe).png
battlevalley	Battle Valley (Europe).png
battleofmidway	Battle of Midway, The (Europe).png
battleofbulge	Battle of the Bulge (USA, Europe).png
battledroidz	BattleDroidz (USA, Europe).png
battlefrontcorpslevelcommandinworldwar2	Battlefront - Corps Level Command in World War II (USA, Europe).png
battleship	Battleship (USA, Europe).png
battleships	Battleships (Europe).png
battletech	Battletech (USA, Europe) (Power Hits Compilation).png
battlezone	Battlezone (USA, Europe).png
batty	Batty (Europe).png
bazookabill	Bazooka Bill (Europe) (Budget).png
beachbuggysimulator	Beach Buggy Simulator (Europe).png
beachvolley	Beach Volley (USA, Europe) (Sports Compilation).png
beachvolleyball	Beach Volleyball (Europe).png
beachhead	Beach-Head (USA, Europe).png
beachhead2dictatorstrikesback	Beach-Head II - The Dictator Strikes Back! (USA).png
beamrider	Beamrider (Europe) (Activision).png
beatitjammin2	Beat It! - Jammin' II (Europe).png
bedlam	Bedlam (Europe).png
belowroot	Below the Root (USA, Europe).png
beverlyhillscop	Beverly Hills Cop (Europe).png
beyondcastlewolfenstein	Beyond Castle Wolfenstein (Europe).png
beyondblackhole	Beyond the Black Hole (USA, Europe).png
beyondforbiddenforest	Beyond the Forbidden Forest (USA, Europe).png
beyondicepalace	Beyond the Ice Palace (Europe).png
biff	Biff (Europe).png
bigbirdsfunhouse	Big Bird's Funhouse (USA, Europe).png
bigbirdsspecialdelivery	Big Bird's Special Delivery (USA, Europe) (Budget).png
bigmacmadmaintenanceman	Big Mac - The Mad Maintenance Man (Europe).png
bigtroubleinlittlechina	Big Trouble in Little China (Europe).png
bigfoot	Bigfoot (Europe).png
biggles	Biggles (Europe).png
bignosesusaadventure	Bignose's USA Adventure (Europe).png
bigtopbarney	Bigtop Barney (Europe).png
bioniccommando	Bionic Commando (Europe).png
bionicninja	Bionic Ninja (Europe).png
bitmania	Bitmania (Europe).png
blackcrystal	Black Crystal (USA, Europe).png
blackgoldschwarzesgold	Black Gold - Schwarzes Gold (Germany).png
blackhawk	Black Hawk (Europe).png
blacklamp	Black Lamp (Europe).png
blackmagic	Black Magic (Europe).png
blacktiger	Black Tiger (Europe).png
blackjack	Blackjack (19xx)(Pein, Tim von)[80 column].png
blackjackacademy	Blackjack Academy (USA, Europe).png
blagger	Blagger (Europe).png
blaggergoestohollywood	Blagger Goes To Hollywood (Europe).png
blasteroids	Blasteroids (Europe).png
blazingthunder	Blazing Thunder (Europe).png
blinkysscaryschool	Blinky's Scary School (Europe).png
blitzkrieg	Blitzkrieg (USA, Europe).png
blockbuster	Blockbuster (USA, Europe).png
blockout	Blockout (USA, Europe).png
bloodbrothers	Blood Brothers (USA, Europe).png
bloodmoney	Blood Money (Europe).png
bloodwych	Bloodwych (Europe).png
blueangel69	Blue Angel 69 (Europe).png
bluebaron	Blue Baron (Europe).png
bluemax	Blue Max (Europe).png
bluemax2001	Blue Max 2001 (Europe).png
bluemoon	Blue Moon (Europe).png
blueprint	Blueprint (USA, Europe).png
bobmoransciencefiction	Bob Moran - Science Fiction (USA, Europe).png
bobbybearing	Bobby Bearing (Europe).png
bobsleigh	Bobsleigh (Europe).png
bodsquad	Bod Squad (Europe).png
bombfusion	Bomb Fusion (Europe).png
bombjack	Bombjack (Europe).png
bombjack2	Bombjack II (Europe).png
bombo	Bombo (Europe).png
bombuzal	Bombuzal (Europe).png
bonanzabrothers	Bonanza Bros (Europe).png
bonecruncher	BoneCruncher (Europe).png
bonzo	Bonzo (Europe).png
bootcamp	Boot Camp (USA).png
booty	Booty (Europe).png
bopandrumble	Bop'n Rumble (USA).png
borrowedtime	Borrowed Time (USA, Europe).png
bosconian87	Bosconian 87 (Europe).png
boulderdash2rockfordsrevenge	Boulder Dash  II - Rockford's Revenge (USA, Europe).png
boulderdash	Boulder Dash (Europe).png
boulderdashconstructionkit	Boulder Dash Construction Kit (Europe) (Program).png
bounces	Bounces (Europe).png
bouncingheads	Bouncing Heads (Europe).png
bounder	Bounder (USA, Europe).png
bountybobstrikesback	Bounty Bob Strikes Back (Europe).png
bowling	Bowling (Japan) (MAX).png
bozosnightout	Bozos Night Out (Europe).png
brainartifice	Brain Artifice (Europe).png
brainstorm	Brainstorm (Europe).png
bravestarr	BraveStarr (Europe).png
bravomagicmusiclevel1	Bravo! Magic Music Level 1 (USA, Europe) (Program).png
breakdance	Break Dance (Europe).png
breakfever	Break Fever (Europe).png
breakers	Breakers (USA, Europe).png
breakthru	Breakthru (Europe).png
brianbloodaxerevelationquovadis	Brian Bloodaxe + Revelation + Quovadis (USA, Europe).png
brianjacksuchimata	Brian Jack's Uchi-Mata (Europe).png
brideoffrankenstein	Bride of Frankenstein (Europe).png
bristles	Bristles (Europe).png
brucelee	Bruce Lee (Europe).png
bubblebobble	Bubble Bobble (Europe) (Budget).png
bubbleburst	Bubble Burst (USA, Europe).png
bubbledizzy	Bubble Dizzy (Europe).png
bubbleghost	Bubble Ghost (Europe).png
buckrogerscountdowntodoomsday	Buck Rogers - Countdown to Doomsday (USA, Europe).png
buckrogersplanetofzoom	Buck Rogers - Planet of Zoom (Europe).png
buffalobillswildwestshow	Buffalo Bill's Wild West Show (USA, Europe).png
bugblaster	Bug Blaster (Europe).png
bugblitz	Bug Blitz (Europe).png
bugcrusher	Bug Crusher (USA, Europe).png
buggyboy	Buggy Boy (Europe).png
bulldog	Bulldog (USA).png
bullseye	Bullseye (Europe).png
bullyssportingdarts	Bully's Sporting Darts (Europe).png
bumpsetspike	Bump Set Spike (Europe).png
bumpingbuggies	Bumping Buggies (Europe).png
bunnyzap	Bunny Zap (Europe).png
burgerchase	Burger Chase (Europe).png
burgertime	Burger Time (Europe).png
bushido	Bushido (Europe).png
cjinusa	CJ in the USA (Europe).png
cjselephantantics	CJ's Elephant Antics (Europe).png
cabal	Cabal (Europe).png
cadcamwarrior	Cadcam Warrior (Europe).png
californiagames	California Games (Europe).png
californiagoldrush	California Goldrush (Europe).png
camelotwarriors	Camelot Warriors (Europe) (Budget).png
captainamericaanddoomtube	Captain America and the Doom Tube (Europe).png
captainblood	Captain Blood (Europe) (En,Fr,De).png
captaindynamo	Captain Dynamo (Europe).png
captainfizzmeetsblastertrons	Captain Fizz Meets the Blaster-Trons (Europe).png
captainzzap	Captain Zzap (USA, Europe).png
captive	Captive, The (Europe).png
capture2	Capture 2 (USA, Europe) (Program).png
cardsharks	Card Sharks (USA) (RapidLok 6).png
carnage	Carnage (Europe).png
carrierforce	Carrier Force (USA, Europe) (v1.2).png
castlehassle	Castle Hassle (USA, Europe).png
castlemaster	Castle Master (Europe).png
castlewolfenstein	Castle Wolfenstein (USA, Europe) (v1).png
castlesofdoctorcreep	Castles of Doctor Creep, The (USA, Europe).png
castlevania	Castlevania (USA).png
cauldron	Cauldron (Europe) (Palace).png
cauldron2pumpkinstrikesback	Cauldron II - The Pumpkin Strikes Back (Europe) (Palace).png
cavefighter	Cave Fighter (Europe).png
caveofwordwizard	Cave of the Word Wizard (USA, Europe).png
cavelon	Cavelon (Europe).png
cavemanughlympics	Caveman Ugh-Lympics (USA, Europe).png
cavemania	Cavemania (Europe).png
cavernsoferiban	Caverns of Eriban (Europe).png
cavernsofsillahc	Caverns of Sillahc (Europe).png
cavernsofxydrahpur	Caverns of Xydrahpur (USA, Europe).png
centaurialliance	Centauri Alliance (USA, Europe).png
centipede	Centipede (USA, Europe).png
centurionspower10treme	Centurions Power X Treme (Europe).png
challengeofgobotsonmoebiusstrip	Challenge of the Gobots on the Moebius Strip (Europe).png
challenger	Challenger (Europe).png
chameleon	Chameleon (Europe).png
championsofkrynn	Champions of Krynn (USA, Europe).png
championship3dsnooker	Championship 3D Snooker (Europe).png
championshipbaseball	Championship Baseball (USA).png
championshipjetskisimulator	Championship Jetski Simulator (Europe).png
championshiploderunner	Championship Lode Runner (USA, Europe).png
championshipsprint	Championship Sprint (Europe).png
championshipwrestling	Championship Wrestling (USA).png
chasehq	Chase H.Q. (Europe).png
chasehq2specialcriminalinvestigation	Chase H.Q. II - Special Criminal Investigation (Europe).png
checkers	Checkers (USA, Europe).png
chessmaster2000	Chessmaster 2000, The (Europe).png
chevychase	Chevy Chase (Europe).png
chickinchase	Chickin Chase (Europe).png
chiller	Chiller (Europe).png
chillywilly	Chilly Willy (USA, Europe).png
chimera	Chimera (USA, Europe).png
chinaminer	China Miner (Europe).png
chinesejuggler	Chinese Juggler (Europe).png
chipschallenge	Chip's Challenge (Europe).png
chipwits	Chipwits (USA, Europe).png
choplifter	Choplifter! (USA, Europe).png
choppercommander	Chopper Commander (Europe).png
chuckyeagersadvancedflighttrainer	Chuck Yeager's Advanced Flight Trainer (USA, Europe).png
circus	Circus (Europe).png
circusattractions	Circus Attractions (USA, Europe) (R2).png
circuscharlie	Circus Charlie (USA) (Budget).png
circusgames	Circus Games (Europe) (Mega Pack 2 Compilation).png
citadel	Citadel (Europe).png
cityfighter	City Fighter (Europe).png
classicadventure	Classic Adventure (Europe).png
cleanupservice	Clean Up Service (Europe).png
cleanuptimeits	Clean-up Time, It's (Europe).png
closeencountersofworstkind	Close Encounters of the Worst Kind (USA, Europe).png
cloudkingdoms	Cloud Kingdoms (Europe) (Chart Attack Compilation).png
clowns	Clowns (Japan) (v01) (MAX).png
clubhousesports	Club House Sports (USA, Europe).png
cobra	Cobra (Europe).png
cobraforce	Cobra Force (Europe).png
coconotes	Coco Notes (USA, Europe).png
codehunter	Code Hunter (Europe).png
codenamemat2	Codename Mat II (Europe).png
cohenstowers	Cohen's Towers (USA, Europe).png
coilcop	Coil Cop (USA).png
colossusbridge4	Colossus Bridge 4 (Europe).png
colossuschess4	Colossus Chess 4 (Europe).png
colourofmagic	Colour of Magic, The (Europe).png
combatcourse	Combat Course (USA, Europe).png
combatcrazywarbringer	Combat Crazy - Warbringer (Europe).png
combatleader	Combat Leader (Europe).png
combatlynx	Combat Lynx (Europe) (Budget).png
combatschool	Combat School (Europe).png
combatzone	Combat Zone (Europe).png
comicbakery	Comic Bakery (Europe).png
commando	Commando (Europe).png
computerscrabbledeluxe	Computer Scrabble Deluxe (Europe).png
conan	Conan (USA, Europe).png
confuzion	Confuzion (Europe).png
congobongo	Congo Bongo (USA, Europe).png
connectfour	Connect Four (Europe).png
continentalcircus	Continental Circus (Europe).png
contra	Contra (USA).png
convoyraider	Convoy Raider (Europe).png
coolcroctwins	Cool Croc Twins (Europe).png
coolworld	Cool World (Europe).png
copsandrobbers	Cops 'n Robbers (Europe).png
corruption	Corruption (USA, Europe) (v1.11).png
cosmiccausewaytrailblazer2	Cosmic Causeway - Trailblazer II (Europe).png
cosmiccommando	Cosmic Commando (Europe) (Burner).png
cosmiclife	Cosmic Life (USA, Europe).png
cosmicpirate	Cosmic Pirate (Europe).png
cosmicreliefprofessorrenegadetorescue	Cosmic Relief - Professor Renegade to the Rescue (USA).png
cosmicsplit	Cosmic Split (Europe).png
cosmictunnels	Cosmic Tunnels, The (USA, Europe).png
cosmonut	Cosmonut (Europe).png
countduckula	Count Duckula (Europe).png
countduckula2featuringtremendousterence	Count Duckula 2 Featuring Tremendous Terence (Europe).png
countdown	Countdown (Europe).png
counterweightkate	Counterweight Kate (World) (Aftermarket).png
cowboykidz	Cowboy Kidz (Europe).png
crackdown	Crack Down (Europe).png
crackup	Crack-Up (Europe).png
crazyballoon	Crazy Balloon (Europe).png
crazycars	Crazy Cars (Europe) (Budget).png
crazycars2	Crazy Cars II (Europe).png
crazycars3	Crazy Cars III (Europe).png
crazycomets	Crazy Comets (Europe).png
crazyerbert	Crazy Er-Bert (Europe).png
crazykong64	Crazy Kong 64 (Europe).png
crazykong	Crazy-Kong (Europe).png
creatures	Creatures (Europe) (The Hits 2 Compilation).png
creatures2torturetrouble	Creatures II - Torture Trouble (USA, Europe).png
cricketinternational	Cricket International (Europe).png
cricketmaster	Cricket Master (Europe).png
crisismountain	Crisis Mountain (USA, Europe).png
criticalmass	Critical Mass (Europe).png
crossfire	Cross Fire (Europe).png
crossbow	Crossbow (USA, Europe).png
crypt	Crypt, The (Europe).png
crystalcastles	Crystal Castles (Europe).png
crystalcaverns	Crystal Caverns (USA).png
crystalfeverlevels	Crystal Fever Levels (Germany) (Golden Disk Ausgabe 9) (Diskmag).png
crystalkingdomdizzy	Crystal Kingdom Dizzy (Europe).png
crystalorb	Crystal Orb, The (USA, Europe).png
cuddlycuburt	Cuddly Cuburt (Europe).png
curseofsherwood	Curse of Sherwood, The (Europe).png
curseofazurebonds	Curse of the Azure Bonds (USA, Europe).png
cyberball	Cyberball (USA, Europe).png
cyberballfootballin21stcentury	Cyberball - Football in the 21st Century (Europe).png
cyberdynewarrior	Cyberdyne Warrior (Europe).png
cybernoid2	Cybernoid II (Europe).png
cyborg	Cyborg (USA, Europe).png
cybotron	Cybotron (Europe).png
cyclesinternationalgrandprixracing	Cycles, The - International Grand Prix Racing (USA, Europe).png
cyclons	Cyclons (Europe).png
cylu	Cylu (Europe).png
cyrus2	Cyrus II (Europe).png
dbug	D-Bug (Europe).png
djpuffsvolcanticcapers	DJ Puff's Volcantic Capers (Europe).png
dnawarrior	DNA Warrior (Europe).png
daleythompsonsdecathlon	Daley Thompson's Decathlon (Europe).png
daleythompsonsolympicchallenge	Daley Thompson's Olympic Challenge (Europe).png
dallasquest	Dallas Quest, The (USA, Europe).png
dambusters	Dam Busters, The (Europe).png
dandare	Dan Dare (Europe).png
dandare2mekonsrevenge	Dan Dare II - Mekon's Revenge (Europe).png
dandare3escape	Dan Dare III - The Escape (Europe).png
dancingbear	Dancing Bear (USA, Europe).png
dancingfeats	Dancing Feats (USA, Europe).png
dancingmonster	Dancing Monster (Europe).png
dandy	Dandy (Europe).png
dangerfreak	Danger Freak (Europe).png
darkcastle	Dark Castle (USA).png
darkfusion	Dark Fusion (Europe).png
darklord	Dark Lord (USA, Europe).png
darkside	Dark Side (Europe).png
darkstar	Dark Star (Europe).png
darktower	Dark Tower, The (USA, Europe).png
darkman	Darkman (Europe).png
davidsmidnightmagic	David's Midnight Magic (Europe).png
dawntreader	Dawn Treader (USA, Europe).png
daysofthunder	Days of Thunder (Europe).png
deactivators	Deactivators (Europe).png
deadlyevil	Deadly Evil (Europe).png
deathrace64	Death Race 64 (Europe).png
deathstar	Death Star (Europe).png
deathsword	Death Sword (USA).png
deathincaribbean	Death in the Caribbean (USA, Europe).png
decathlon	Decathlon (Europe) (Budget).png
deceptor	Deceptor (Europe).png
decisivebattlesofamericancivilwarvolume3	Decisive Battles of the American Civil War - Volume 3 (USA, Europe).png
deepstrike	Deep Strike (Europe).png
deep	Deep, The (Europe).png
defcom	Defcom (Europe).png
defcon5	Defcon 5 (USA, Europe).png
defender	Defender (USA, Europe).png
defenderofcrown	Defender of the Crown (USA, Europe).png
defendersofearth	Defenders of the Earth (Europe).png
deliverancestormlord2	Deliverance - Stormlord II (Europe).png
delta	Delta (Europe).png
deltapatrol	Delta Patrol (USA).png
demonblue	Demon Blue (Europe).png
demonstalkersraidondoomfane	Demon Stalkers - The Raid on Doomfane (USA, Europe).png
demonstalkersraidondoomfaneinteractivedemo	Demon Stalkers - The Raid on Doomfane - Interactive Demo (USA, Europe) (Promo).png
demonskiss	Demon's Kiss (Europe).png
demonswinter	Demon's Winter (USA, Europe) (v1.1).png
denaris	Denaris (Europe).png
denarius	Denarius (Europe).png
derbyday	Derby Day (Europe).png
desertfox	Desert Fox (Europe).png
desolator	Desolator (Europe).png
destiny	Destiny (USA, Europe).png
destroyer	Destroyer (USA, Europe).png
