skateordie	0	2400	Sports	d64_Skate_or_Die_1987_Electronic_Arts_Side_A	Skate or Die!
thomastankengine	0	2397		thomas_tap	Thomas the Tank Engine: Fun with Words
pacmania	0	2382	Arcade	pacmania_c64	Pac-Mania
tapper	0	2302	Arcade	d64_Tapper_1984_U.S._Gold	Tapper
wonderboy	0	2295	Arcade	d64_Wonderboy_1987_Activision_h_NO	Wonderboy
poleposition	0	2258	Racing	d64_Pole_Position_1984_Atari	Pole Position
aztecchallenge	0	2221	Arcade	Aztec_Challenge_1983_Cosmi_h10	Aztec Challenge
dinoeggs	0	2217	Arcade	Dino_Eggs_1983_Micro_Fun	Dino Eggs
jagdaufroteroktober	0	2203	Simulation	Jagd_auf_Roter_Oktober_1987_Grandslam_Entertainment_de	Jagd auf Roter Oktober
transformers	0	2169	Shoot'em Up	d64_Transformers_The_Battle_to_Save_the_Earth_1986_Activision_Side_A	Transformers: The Battle to Save the Earth
missionimpossible	0	2162	Adventure	d64_Mission_Impossible_1981_Commodore	Mission Impossible
hardhatmack	0	2159	Arcade	Hard_Hat_Mack_1983_Electronic_Arts	Hard Hat Mack
insanity	0	2135	Brain	c64_insanity	insanity
missallnudeamerica	0	2129	Miscellaneous	d64_Miss_All_Nude_America_1985_Brilliant_Software	Miss All Nude America
speedbuggy	0	2114	Racing	d64_Speed_Buggy_1987_Data_East	Speed Buggy
friday13th	0	2113	Adventure	Friday_the_13th_1985_Domark	Friday the 13th
tennismanager	0	2108	Sports	d64_Tennis-Manager_1986_Thorsten_Woelki_de	Tennis-Manager
knightrider	0	2103	Arcade	Knight_Rider_1986_Ocean	Knight Rider
advancedpinballsimulator	0	2099	Arcade	Advanced_Pinball_Simulator_1989_Codemasters	Advanced Pinball Simulator
cauldron2	0	2099	Arcade	Cauldron_II_The_Pumpkin_Strikes_Back_1986_Palace_Software_h_NO	Cauldron II: The Pumpkin Strikes Back
elvira	0	2092	Adventure	Elvira_Mistress_of_the_Dark_1991_Flair_Software_cs_Disk_1_of_3_Side_A	Elvira: Mistress of the Dark
telengard	0	2089	Adventure	d64_Telengard_1983_Avalon_Hill	Telengard
donquijote	0	2074	Adventure	Don_Quijote_1987_Dinamic_Software_es	Don Quijote
trackandfield	0	2069	Sports	d64_Track_Field_1983_Konami	Track & Field
pacland	0	2067	Arcade	pacland_c64	Pac-Land
krakout	0	2062	Arcade	Krakout_1987_Gremlin_Graphics	Krakout
bladerunner	0	2059	Adventure	Blade_Runner_1982_WizardSoft	Blade Runner
playboy	0	2036	Miscellaneous	c64_playboy	playboy
superblitz	0	2029	Shoot'em Up	d64_Super_Blitz_1983_Commodore	Super Blitz
covergirlstrippoker	0	2000	Cards	Cover_Girl_Strip_Poker_1991_Daily_Sport_cr_Dominators	Cover Girl Strip Poker
conan	0	1993	Arcade	Conan_1984_Datasoft_it	Conan
alien	0	1979	Adventure	Alien_1984_Argus_Press	Alien
ghettoblaster	0	1975	Arcade	Ghettoblaster_1985_Virgin_Games	Ghettoblaster
kolofortuny	0	1972	Gambling	Kolo_Fortuny_v0.2_1993_Vermes	Kolo Fortuny v0.2
manicminer	0	1971	Arcade	d64_Manic_Miner_1983_Software_Projects	Manic Miner
vegasjackpot	0	1961	Gambling	uta_Vegas_Jackpot_1984_Mastertronic_8378	Vegas Jackpot
bioniccommando	0	1953	Arcade	Bionic_Commando_US_Version_1988_Capcom	Bionic Commando
winzer	0	1948	Strategy	d64_Winzer_1991_Starbyte_Software	Winzer
omegarace	0	1947	Shoot'em Up	d64_Omega_Race_1982_Commodore	Omega Race
indianajonesinlostkingdom	0	1944	Arcade	Indiana_Jones_in_the_Lost_Kingdom_1984_Mindscape	Indiana Jones in the Lost Kingdom
meanstreets	0	1918	Adventure	d64_Mean_Streets_1989_Access_Software_Disk_3_of_3_Side_A	Mean Streets
goldenaxe	0	1887	Arcade	Golden_Axe_1990_Virgin_Games_t_11M_X-Ray	Golden Axe
baddudesversusdragonninja	0	1872	Arcade	Bad_Dudes_vs._Dragon_Ninja_1989_Data_East	Bad Dudes vs. Dragon Ninja
dylandog	0	1865	Adventure	Dylan_Dog_1992_Simulmondo	Dylan Dog
zork1	0	1862	Adventure	d64_Zork_I_The_Great_Underground_Empire_1983_Infocom	Zork I: The Great Underground Empire
wheeloffortune	0	1861	Gambling	d64_Wheel_of_Fortune_1993_Udo_de_PD	Wheel of Fortune
crazykong	0	1858	Arcade	Crazy_Kong_1983_Interceptor_Micros	Crazy Kong
farmersdaughter	0	1855	Adventure	Farmers_Daughter_The_19xx_Nocturnal_Software	The Farmer's Daughter
grandmaster	0	1854	Board Game	Grandmaster_1982_Kingsoft	Grandmaster
ducktales	0	1847	Strategy	Duck_Tales_The_Quest_for_Gold_1990_Disney_Software_Disk_1_of_3_Side_A	Duck Tales: The Quest for Gold
moonfall	0	1843	Simulation	d64_Moonfall_1991_21st_Century	Moonfall
rockyhorrorshow	0	1843	Adventure	d64_Rocky_Horror_Show_The_1985_CRL	The Rocky Horror Show
falconpatrol	0	1842	Shoot'em Up	Falcon_Patrol_1983_Virgin_Games	Falcon Patrol
manfromand10	0	1829	Arcade	d64_Man_from_N-10_The_1983_Quantum_Leap	The Man from N-10
bismarck	0	1820	Strategy	Bismarck_The_North_Sea_Chase_1987_Personal_Software_Services_de	Bismarck: The North Sea Chase
wasteland	0	1819	Adventure	d64_Wasteland_1988_Electronic_Arts_Disk_1_of_2_Side_A	Wasteland
kongstrikesback	0	1815	Arcade	Kong_Strikes_Back_1985_Ocean	Kong Strikes Back!
chessgame	0	1809	Arcade	Chess_Game_The_19xx_-	The Chess Game
hobbit	0	1803	Adventure	Hobbit_The_1983_Melbourne_House	The Hobbit
snoopy	0	1800	Arcade	d64_Snoopy_1984_Radarsoft	Snoopy
miner2049er	0	1794	Arcade	d64_Miner_2049er_1983_U.S._Gold	Miner 2049'er
lotusespritturbochallenge	0	1786	Racing	d64_Lotus_Esprit_Turbo_Challenge_1990_Gremlin_Graphics_Side_A	Lotus Esprit Turbo Challenge
gameboytetris	0	1782	Arcade	Gameboy_Tetris_1992_Binary_Zone_PD	Gameboy Tetris
franticfreddie	0	1773	Arcade	Frantic_Freddie_1984_CDS_Microsystems	Frantic Freddie
daysofthunder	0	1760	Racing	uta_Days_of_Thunder_1990_Mindscape_Inc._5933	Days of Thunder
rambo3	0	1757	Shoot'em Up	uta_Rambo_III_1988_Ocean_Software_Ltd_2129	Rambo III
gremlins2	0	1745	Arcade	Gremlins_2_The_New_Batch_1990_Elite	Gremlins 2: The New Batch
whoframedrogerrabbit	0	1726	Adventure	d64_Who_Framed_Roger_Rabbit_1988_Walt_Disney_Software_Side_A	Who Framed Roger Rabbit
pitstop	0	1718	Racing	d64_Pitstop_1983_Epyx_h_REM	Pitstop
escapefromnewyork	0	1711	Arcade	Escape_from_New_York_1999_Cadaver	Escape from New York
heartofafrica	0	1706	Strategy	Heart_of_Africa_1985_Electronic_Arts	Heart of Africa
tetris	0	1699	Arcade	d64_Tetris_19xx_576_kByte	Tetris
purpleturtles	0	1699	Arcade	d64_Purple_Turtles_1983_Quicksilva	Purple Turtles
stormlord	0	1690	Shoot'em Up	d64_Stormlord_1989_Hewson	Stormlord
midwaycampaign	0	1690	Strategy	d64_Midway_Campaign_1980_Avalon_Hill	Midway Campaign
frogger64	0	1686	Arcade	Frogger_64_1983_Interceptor_Micros	Frogger 64
aztec	0	1676	Arcade	Aztec_1984_Datamost	Aztec
karatekid2	0	1672	Sports	Karate_Kid_2_19xx_-_cr_MCC	Karate Kid 2
shogun	0	1669	Adventure	d64_Shogun_1986_Virgin_Games	Shogun
racingdestructionset	0	1668	Racing	d64_Racing_Destruction_Set_1985_Electronic_Arts_Side_A	Racing Destruction Set
doctorwhoandminesofterror	0	1661	Arcade	Doctor_Who_and_the_Mines_of_Terror_1986_Micropower	Doctor Who and the Mines of Terror
mrdig	0	1661	Arcade	d64_Mr._Dig_1984_Microdeal	Mr. Dig
teenagemutantninjaturtles	0	1652	Shoot'em Up	turtles_c64	Teenage Mutant Ninja Turtles
poolofradiance	0	1651	Adventure	d64_Pool_of_Radiance_v1.1_1988_SSI_Disk_1_of_4_Side_A	Pool of Radiance v1.1
pressyourluck	0	1634	Educational	d64_Press_Your_Luck_1988_Gametek_Side_A	Press Your Luck
indianajonesandtempleofdoom	0	1633	Arcade	uta_Indiana_Jones_and_the_Temple_of_Doom_1990_Kixx_1302	Indiana Jones and the Temple of Doom
footballmanager2	0	1626	Sports	Football_Manager_2_1988_Addictive_Games_de	Football Manager 2
sacredarmourofantiriad	0	1626	Arcade	d64_Sacred_Armour_of_Antiriad_The_1986_Palace_Software	The Sacred Armour of Antiriad
radarratrace	0	1621	Arcade	d64_Radar_Rat_Race_1982_Commodore	Radar Rat Race
nonopixie	0	1616	Brain	nonopixie	Nono Pixie
ultima6	0	1614	Adventure	d64_Ultima_VI_The_False_Prophet_1990_Origin_Systems_Disk_1_of_3_Side_A_Game	Ultima VI: The False Prophet
cobra	0	1611	Shoot'em Up	Cobra_1986-02-22_Ocean_de	Cobra
kaiser2	0	1609	Strategy	Kaiser_2_19xx_Ariolasoft_de	Kaiser 2
persiangulfinferno	0	1609	Shoot'em Up	d64_Persian_Gulf_Inferno_1990_Magic_Bytes	Persian Gulf Inferno
prodigy	0	1606	Adventure	d64_Prodigy_The_1986_Electric_Dreams	The Prodigy
rickdangerous	0	1599	Arcade	d64_Rick_Dangerous_1989_Firebird_t_7_Crest	Rick Dangerous
bloodmoney	0	1593	Shoot'em Up	Blood_Money_1990_Psygnosis	Blood Money
nero2000	0	1592		d64_Nero_2000_1987_Bio-Syntax_Method_Oy_FI	Nero 2000
cabal	0	1588	Shoot'em Up	Cabal_1989_Ocean_h_Intense_t_2_Legend	Cabal
kickoff2	0	1580	Sports	Kick_Off_2_1990_Anco_Software	Kick Off 2
childsplay	0	1562	Arcade	c64_Childs_Play	Childs Play
seafox	0	1562	Shoot'em Up	d64_Seafox_1982_Broderbund	Seafox
striker	0	1558	Sports	d64_Striker_1990_Cult_Games	Striker
oilswell	0	1539	Arcade	d64_Oils_Well_1983_Sierra_Online	Oils Well
revengeofmutantcamels	0	1532	Shoot'em Up	d64_Revenge_of_the_Mutant_Camels_1984_Llamasoft	Revenge of the Mutant Camels
dragonslair	0	1531	Arcade	Dragons_Lair_1986_Software_Projects	Dragon's Lair
mazerunner	0	1527	Shoot'em Up	d64_Maze_Runner_19xx_Chris_Hogan	Maze Runner
1alien	0	1526	Shoot'em Up	I-Alien_1987_CRL	I-Alien
spysdemise	0	1525	Arcade	d64_Spys_Demise_1983_Penguin_Software	Spy's Demise
purestatbaseball	0	1524	Sports	d64_Pure-Stat_Baseball_Manager_Edition_1986_Sublogic	Pure-Stat Baseball: Manager Edition
pyjamarama	0	1519	Adventure	d64_Pyjamarama_1984_Mikro-Gen	Pyjamarama!
kennedyapproach	0	1516	Simulation	Kennedy_Approach_1985_MicroProse	Kennedy Approach
